实验时间,环境基准光强,开始瞬间光强,反应中平均光强,反应中最低光强,结束瞬间光强,结束+0.5s光强,结束+1.0s光强,反应耗时(秒),vc含量,溶液温度
2026-05-10 13:46:46,999,806,993,265,305,265,265,73.2,1.2,18.5
2026-05-10 13:52:33,998,613,986,185,225,185,185,64.6,1.2,18.8
2026-05-10 13:56:01,1007,843,1006,608,631,608,608,88.3,1.2,18.7
2026-05-10 13:59:53,996,743,987,101,134,101,101,85.6,1.2,18.9
2026-05-10 14:03:58,1003,805,987,112,148,112,112,84.0,1.2,18.7
2026-05-10 14:07:33,1000,813,989,108,142,108,108,71.5,1.0,18.8
2026-05-10 14:11:34,1013,655,990,203,242,203,203,69.12,1.0,18.9
2026-05-10 14:15:26,1007,616,989,336,383,336,336,72.22,1.0,18.7
2026-05-10 14:18:35,1001,602,991,200,398,358,358,72.44,1.0,19.1
2026-05-10 14:27:25,997,604,984,162,202,162,162,88.38,1.3,18.7
2026-05-10 14:35:47,1007,835,998,256,299,256,256,90.2,1.3,19.1
2026-05-17 09:13:36,1014,1014,963,2,814,1017,1017,27.5,12,21
2026-05-17 09:14:42,1017,1017,964,17,1017,1017,1017,36.4,1,1
2026-05-17 10:02:06,992,993,988,636,991,863,863,103.648,,
2026-05-17 10:36:12,858,211,287,53,507,320,320,398.4,,
2026-05-17 10:46:38,999,804,960,1,3,402,402,21.0,,
2026-05-17 10:52:51,882,81,987,160,196,160,160,51.7,,
2026-05-17 10:59:45,813,813,157,16,30,33,33,20.1,,
2026-05-17 11:02:08,971,49,993,95,730,716,716,74.0,,
2026-05-17 11:06:05,1018,1013,1007,587,611,587,587,65.0,,
2026-05-17 11:10:14,878,361,1003,231,686,668,668,68.0,,
2026-05-17 12:10:10,1016,1007,999,352,388,352,352,64.5,,
2026-05-17 12:17:09,994,996,985,90,120,90,90,73.4,,
2026-05-17 12:22:03,1001,999,991,146,184,146,146,84.5,,
2026-05-17 13:18:29,1003,1015,1003,110,113,110,110,92.0,,


2026-05-17 13:33:31,1001,1001,1001,309,364,413,413,216.501,,
2026-05-17 13:46:03,1018,1019,1007,690,698,690,690,92.9,,
2026-05-17 13:55:26,1018,1017,1007,678,693,678,678,97.7,,
2026-05-17 13:59:17,1011,1001,995,357,391,357,357,79.0,,
2026-05-17 14:09:34,1018,1018,1007,677,690,677,677,83.5,,
2026-05-17 14:17:10,1018,1018,1001,740,745,740,740,103.2,,
2026-05-17 14:20:53,1018,1018,1004,607,637,607,607,83.0,,
2026-05-17 14:25:37,1017,1017,1004,694,713,694,694,91.9,,
2026-05-17 14:34:29,1010,1015,997,444,577,546,546,82.9,,
2026-05-17 14:38:37,1013,1016,994,621,738,734,734,115.4,,
2026-05-17 14:47:50,1018,1017,1004,707,715,707,707,96.3,,
2026-05-17 14:51:42,1009,1013,998,304,650,623,623,81.8,,
2026-05-17 15:00:42,1018,1018,1007,672,686,672,672,87.7,,
2026-05-17 15:03:36,1018,1008,1009,687,705,687,687,109.4,,
2026-05-17 15:10:51,1019,1019,1010,206,1019,1019,1019,46.9,,
2026-05-17 15:13:26,1019,1019,985,8,214,8,8,14.4,,
2026-05-17 15:15:07,1019,1019,1004,613,1019,1019,1019,12.9,,
2026-05-17 15:17:08,1019,1019,1000,3,816,1019,1019,39.7,,
